Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Category
32,216.826,0.452,0.826,4,-5.308,0,0.0615,0.00339,0.0,0.108,0.215,144.091,4,Favoritas
32,234.546,0.752,0.928,7,-6.806,1,0.0975,0.0359,0.0,0.0934,0.924,156.023,4,Favoritas
6,210.24,0.42,0.929,7,-3.899,0,0.121,0.000353,0.000747,0.122,0.3,127.204,4,Favoritas
42,210.48,0.397,0.982,8,-3.752,1,0.0682,0.00587,0.00591,0.346,0.723,96.81,4,Favoritas
26,200.106,0.806,0.655,9,-7.929,0,0.0603,0.332,9.58e-05,0.0329,0.934,92.02,4,Favoritas
63,229.876,0.66,0.792,11,-4.403,0,0.0366,0.00582,0.000817,0.0929,0.532,96.992,4,Favoritas
49,175.853,0.404,0.679,3,-5.398,0,0.0909,0.692,1.01e-05,0.0745,0.878,184.53,3,Favoritas
18,161.92,0.503,0.6,7,-8.082,1,0.0526,0.155,0.0,0.0948,0.561,78.909,4,Favoritas
77,179.693,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3,Favoritas
28,276.57,0.66,0.899,0,-5.403,1,0.0264,0.0158,0.0,0.309,0.68,104.006,4,Favoritas
20,120.826,0.691,0.673,9,-7.105,1,0.0438,0.0687,0.0,0.269,0.743,102.339,4,Favoritas
47,123.28,0.661,0.478,2,-9.901,0,0.17,0.167,0.0,0.127,0.834,96.639,4,Favoritas
72,219.666,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,4,Favoritas
66,303.586,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,4,Favoritas
5,189.5,0.607,0.702,4,-6.35,1,0.0406,0.0482,0.0013,0.196,0.855,102.955,4,Favoritas
81,267.596,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,4,Favoritas
80,405.6,0.268,0.98,11,-5.959,1,0.101,0.019,0.00692,0.182,0.39,100.316,4,Favoritas
77,193.03,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,4,Favoritas
78,222.92,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.909,4,Favoritas
77,298.666,0.765,0.289,4,-17.125,0,0.147,0.0268,1.77e-06,0.562,0.501,92.413,4,Favoritas
43,176.973,0.746,0.557,7,-11.072,0,0.0405,0.289,1.19e-06,0.0996,0.892,119.748,4,Favoritas
42,171.306,0.656,0.772,10,-4.828,1,0.0322,0.212,5.58e-06,0.251,0.77,120.015,4,Favoritas
